id,host_id,neighbourhood,latitude,longitude,room_type,price,number_of_reviews,last_review,reviews_per_month,is_duplicate_coordinate,host_count_per_coord,coordinate_type
29336410,220345071,Khlong Sam Wa,13.84229,100.6977,Private room,350,0,,0.0,0,1,individual
29340809,187894052,Parthum Wan,13.74627,100.52557,Shared room,500,3,2019-12-20,0.06,0,1,individual
29346795,105689479,Huai Khwang,13.78067,100.57536,Private room,680,46,2019-12-16,0.9,0,1,individual
29350019,221074508,Huai Khwang,13.75446,100.56993,Entire home/apt,1700,0,,0.0,0,1,individual
29351757,205219446,Vadhana,13.74234,100.55523,Private room,990,1,2018-10-21,0.02,0,1,individual
29358088,216709072,Vadhana,13.73437,100.568,Hotel room,4292,69,2022-12-09,1.35,1,1,multi_listing_same_host
29358509,216709072,Vadhana,13.73437,100.568,Hotel room,2821,59,2022-12-11,1.16,1,1,multi_listing_same_host
29370250,6906718,Phra Khanong,13.69832,100.60662,Entire home/apt,5523,4,2022-08-01,0.08,0,1,individual
29371193,105689479,Huai Khwang,13.77933,100.57721,Private room,680,49,2022-11-03,0.97,0,1,individual
28856089,217568664,Din Daeng,13.79813,100.57061,Hotel room,350,0,,0.0,0,1,individual
28856338,24147370,Khlong Toei,13.70682,100.59413,Entire home/apt,5714,122,2022-12-15,2.36,0,1,individual
28862973,217613757,Din Daeng,13.7966,100.57182,Private room,1400,3,2019-04-24,0.06,0,1,individual
28870147,205008955,Bang Kho laen,13.70169,100.51605,Entire home/apt,1400,52,2022-09-03,1.04,0,1,individual
29135949,219556869,Vadhana,13.73098,100.58264,Private room,8000,1,2019-12-21,0.03,0,1,individual
28871148,217662805,Phaya Thai,13.79084,100.53507,Entire home/apt,2600,0,,0.0,0,1,individual
28873208,217613757,Din Daeng,13.79819,100.56955,Hotel room,1690,0,,0.0,0,1,individual
29137251,43467538,Ratchathewi,13.75085,100.53839,Private room,2500,6,2019-06-11,0.12,0,1,individual
29140407,43467538,Ratchathewi,13.75084,100.53872,Private room,2200,11,2020-03-02,0.23,0,1,individual
29145704,1927968,Sathon,13.72084,100.54725,Entire home/apt,836,121,2022-11-12,2.36,0,1,individual
29145988,219622247,Huai Khwang,13.74921,100.56541,Entire home/apt,1300,16,2022-08-15,0.32,0,1,individual
28875565,217697195,Khan Na Yao,13.84866,100.66373,Entire home/apt,1500,0,,0.0,0,1,individual
28877331,164560603,Din Daeng,13.78066,100.5728,Entire home/apt,12000,2,2019-09-30,0.04,0,1,individual
28881132,212004527,Phra Khanong,13.70481,100.6027,Entire home/apt,1628,0,,0.0,0,1,individual
28882795,212004527,Din Daeng,13.78977,100.57283,Entire home/apt,1856,3,2019-09-27,0.06,0,1,individual
28884852,48919604,Vadhana,13.71907,100.58675,Private room,950,8,2022-08-07,0.16,1,1,multi_listing_same_host
28886705,217732950,Ratchathewi,13.75068,100.54648,Private room,900,0,,0.0,0,1,individual
28893987,119203329,Huai Khwang,13.7538,100.57637,Entire home/apt,900,51,2022-12-03,0.99,0,1,individual
29147103,160707102,Phra Khanong,13.69681,100.60532,Shared room,3000,0,,0.0,0,1,individual
29151358,117992287,Ratchathewi,13.75083,100.5387,Entire home/apt,1315,92,2022-11-10,1.81,0,1,individual
29155241,219695104,Yan na wa,13.67799,100.54715,Private room,600,0,,0.0,0,1,individual
29155292,49552579,Phra Khanong,13.68759,100.61058,Private room,999,0,,0.0,0,1,individual
29164306,176740696,Khlong Toei,13.72982,100.56965,Private room,2600,12,2020-03-06,0.24,0,1,individual
29373477,221293865,Don Mueang,13.93546,100.56809,Entire home/apt,2978,1,2019-01-31,0.02,0,1,individual
29168466,163517448,Khlong Toei,13.7393,100.55505,Hotel room,1300,16,2022-12-13,0.4,0,1,individual
29375155,221306977,Parthum Wan,13.74019,100.5439,Entire home/apt,2597,0,,0.0,0,1,individual
29375547,221304783,Vadhana,13.72057,100.58984,Private room,659,59,2020-03-12,1.31,0,1,individual
29375872,221310860,Phra Nakhon,13.76208,100.49889,Entire home/apt,2597,0,,0.0,0,1,individual
28901267,215116504,Yan na wa,13.70073,100.538,Entire home/apt,3428,0,,0.0,0,1,individual
28904003,217874238,Ratchathewi,13.75708,100.52657,Hotel room,2600,1,2019-01-01,0.02,0,1,individual
28907857,87704107,Phra Nakhon,13.76279,100.4979,Private room,1400,0,,0.0,1,1,multi_listing_same_host
29174656,219834607,Ratchathewi,13.75545,100.53748,Entire home/apt,1500,49,2022-11-29,0.98,0,1,individual
28918388,217983676,Suanluang,13.71132,100.60483,Private room,499,0,,0.0,0,1,individual
29379952,184339795,Din Daeng,13.78408,100.57271,Entire home/apt,800,19,2022-12-15,0.38,0,1,individual
29175419,127467502,Khlong Toei,13.72673,100.56274,Entire home/apt,1400,56,2022-04-23,1.13,0,1,individual
29190809,219974333,Chom Thong,13.66149,100.46541,Private room,2632,0,,0.0,0,1,individual
29380306,221335356,Bang Rak,13.7331,100.52617,Entire home/apt,2597,0,,0.0,0,1,individual
29382819,221353195,Vadhana,13.74699,100.5529,Private room,1000,0,,0.0,0,1,individual
29192054,219983414,Khlong Toei,13.72256,100.5747,Entire home/apt,9214,17,2022-12-06,0.49,0,1,individual
29384174,64598436,Bang Kapi,13.76888,100.64146,Private room,690,0,,0.0,0,1,individual
28918667,217983721,Phra Nakhon,13.75539,100.50209,Entire home/apt,2570,0,,0.0,0,1,individual
28920461,217999111,Bang Rak,13.72345,100.51744,Private room,900,0,,0.0,0,1,individual
29194706,219996296,Vadhana,13.7299,100.5822,Private room,75000,0,,0.0,0,1,individual
29194955,18234321,Vadhana,13.74469,100.55934,Hotel room,3331,22,2020-03-10,0.43,0,1,individual
29195282,219991682,Vadhana,13.72745,100.59519,Entire home/apt,1550,0,,0.0,0,1,individual
29198625,43467538,Ratchathewi,13.75082,100.53906,Private room,2071,12,2020-02-17,0.25,0,1,individual
29208957,220055398,Khlong Toei,13.731129932843352,100.56496616990064,Private room,649,20,2022-11-30,0.42,1,1,multi_listing_same_host
28921035,218001097,Chatu Chak,13.81288,100.57874,Entire home/apt,2600,0,,0.0,0,1,individual
28921133,218002130,Phra Nakhon,13.76148,100.50294,Entire home/apt,2579,0,,0.0,0,1,individual
28923351,218015220,Thon buri,13.72859,100.48979,Entire home/apt,2565,0,,0.0,0,1,individual
28926057,218032956,Din Daeng,13.78666,100.5728,Entire home/apt,1699,15,2022-11-20,0.33,0,1,individual
29605483,7825375,Sathon,13.71764,100.52976,Private room,1000,4,2019-04-25,0.08,0,1,individual
29384983,221369264,Phra Nakhon,13.75987,100.49842,Entire home/apt,2597,0,,0.0,0,1,individual
29391104,221416311,Don Mueang,13.92636,100.5858,Private room,650,62,2022-12-11,1.25,0,1,individual
29394432,125020131,Din Daeng,13.78653,100.56857,Private room,2000,1,2019-03-21,0.02,0,1,individual
29396594,221268282,Khlong Toei,13.72168,100.58126,Private room,899,30,2022-10-12,0.6,0,1,individual
29209189,37770915,Suanluang,13.71416,100.6323,Private room,890,0,,0.0,0,1,individual
29219172,15699117,Vadhana,13.73733,100.56111,Entire home/apt,2966,102,2022-12-21,2.01,0,1,individual
29219980,220151220,Suanluang,13.72647,100.63499,Private room,1500,0,,0.0,0,1,individual
29397136,221463004,Bang Rak,13.72579,100.52137,Entire home/apt,2606,1,2019-01-01,0.02,0,1,individual
29220034,220149747,Bang Rak,13.72085,100.51446,Entire home/apt,2606,1,2019-12-31,0.03,0,1,individual
29222072,214201312,Sathon,13.7129,100.51442,Entire home/apt,773,52,2022-11-13,1.07,1,1,multi_listing_same_host
29222102,214201312,Sathon,13.7129,100.51442,Entire home/apt,767,65,2022-11-30,1.3,1,1,multi_listing_same_host
29222188,214201312,Sathon,13.7129,100.51442,Entire home/apt,590,41,2022-12-14,0.84,1,1,multi_listing_same_host
29224879,79624768,Huai Khwang,13.75391,100.57397,Entire home/apt,1107,34,2022-11-07,0.67,0,1,individual
29226231,217176833,Khlong Toei,13.72273,100.56713,Private room,2100,0,,0.0,0,1,individual
29242113,11802345,Parthum Wan,13.73901,100.54217,Entire home/apt,3900,1,2018-10-18,0.02,0,1,individual
29397406,221466510,Chatu Chak,13.81937,100.57036,Entire home/apt,967,0,,0.0,0,1,individual
29397607,221268282,Khlong Toei,13.72027,100.57992,Private room,999,11,2020-01-26,0.23,0,1,individual
29397789,2940438,Rat Burana,13.68849,100.49117,Entire home/apt,1157,23,2022-12-15,0.47,0,1,individual
29397885,221268282,Khlong Toei,13.72102,100.57929,Private room,999,3,2019-07-01,0.06,0,1,individual
29401961,221268282,Khlong Toei,13.72109,100.57944,Private room,499,30,2022-05-14,0.59,0,1,individual
29403716,221495272,Ratchathewi,13.75486,100.53324,Entire home/apt,2200,65,2022-12-22,1.28,0,1,individual
29607434,217304589,Bang Na,13.66001,100.62632,Entire home/apt,4800,11,2020-01-26,0.22,0,1,individual
29242403,214201312,Sathon,13.71284,100.51443,Entire home/apt,767,72,2022-11-28,1.45,0,1,individual
29245979,122466288,Chatu Chak,13.80832,100.56873,Private room,4500,2,2018-12-29,0.04,0,1,individual
29615446,222545058,Phra Nakhon,13.76311,100.49853,Private room,785,48,2022-12-05,0.96,0,1,individual
29615864,28443643,Ratchathewi,13.75133,100.53905,Entire home/apt,2950,5,2022-10-25,0.1,0,1,individual
29406230,221495272,Ratchathewi,13.74889,100.54814,Entire home/apt,2500,9,2022-12-03,0.18,0,1,individual
29406883,35082871,Vadhana,13.7434,100.55744,Entire home/apt,1801,114,2022-12-14,2.27,0,1,individual
29414738,217568664,Din Daeng,13.79741,100.56917,Private room,750,2,2019-01-01,0.04,0,1,individual
